FID,FID_dhaka_,Ward_ID,PopDensity,Pop,Area,FID_dhaka1,OBJECTID,site_id,site_name,lat,long,BUFF_DIST,ORIG_FID,Shape_Leng,Shape_Area,pop_count
0,0,1,32644.580132800001593,183298,5.614959642740000,41,42,42,uttara_sector_1,23.856290000000001,90.401390000000006,1250.000000000000000,41,0.074020177773200,0.000223580381377,7
1,0,1,32644.580132800001593,183298,5.614959642740000,42,43,43,uttara_sector_7,23.869800000000001,90.400049999999993,1250.000000000000000,42,0.074024196796300,2.405910414730000,78540
2,1,2,80339.492450100005954,151868,1.890328098530000,21,22,22,mirpur_dohs,23.836990000000000,90.374240000000000,1250.000000000000000,21,0.074014442151500,0.959237519845000,77065
3,1,2,80339.492450100005954,151868,1.890328098530000,29,30,30,mirpur_milk_vita,23.818909999999999,90.361080000000001,1250.000000000000000,29,0.074009074917000,0.486939867050000,39121
4,2,3,71784.943147600002703,94664,1.318716653510000,37,38,38,mirpur_10,23.807780000000001,90.368570000000005,1250.000000000000000,37,0.074005772704100,0.398623112961000,28615
5,3,4,66722.266262200006167,75246,1.127749463790000,37,38,38,mirpur_10,23.807780000000001,90.368570000000005,1250.000000000000000,37,0.074005772704100,0.292291140961000,19502
6,3,4,66722.266262200006167,75246,1.127749463790000,38,39,39,kochukhetmmarket,23.792059999999999,90.388159999999999,1250.000000000000000,38,0.074001113678100,0.103897339902000,6932
7,4,5,98890.981691199995112,118110,1.194345510380000,29,30,30,mirpur_milk_vita,23.818909999999999,90.361080000000001,1250.000000000000000,29,0.074009074917000,0.059556540984100,5890
8,4,5,98890.981691199995112,118110,1.194345510380000,37,38,38,mirpur_10,23.807780000000001,90.368570000000005,1250.000000000000000,37,0.074005772704100,0.002195919797210,217
9,5,12,138390.602130000013858,116544,0.842138109139000,36,37,37,mirpur_1,23.799530000000001,90.354439999999997,1250.000000000000000,36,0.074003326950000,0.206281416798000,28547
10,6,6,58389.779890899997554,163770,2.804771662200000,29,30,30,mirpur_milk_vita,23.818909999999999,90.361080000000001,1250.000000000000000,29,0.074009074917000,0.750601609570000,43827
11,6,6,58389.779890899997554,163770,2.804771662200000,36,37,37,mirpur_1,23.799530000000001,90.354439999999997,1250.000000000000000,36,0.074003326950000,0.005176114078970,302
12,7,7,116705.176107999999658,113750,0.974678277295000,36,37,37,mirpur_1,23.799530000000001,90.354439999999997,1250.000000000000000,36,0.074003326950000,0.062152428974900,7254
13,8,8,26705.429750899998908,111251,4.165856945110000,23,24,24,mirpur_6,23.812040000000000,90.362589999999997,1250.000000000000000,23,0.074007035874900,0.037546966070600,1003
14,8,8,26705.429750899998908,111251,4.165856945110000,29,30,30,mirpur_milk_vita,23.818909999999999,90.361080000000001,1250.000000000000000,29,0.074009074917000,0.301265815918000,8045
15,8,8,26705.429750899998908,111251,4.165856945110000,36,37,37,mirpur_1,23.799530000000001,90.354439999999997,1250.000000000000000,36,0.074003326950000,1.101290962920000,29410
16,9,9,49387.283863999997266,71260,1.442881535990000,36,37,37,mirpur_1,23.799530000000001,90.354439999999997,1250.000000000000000,36,0.074003326950000,0.185204978866000,9147
17,9,9,49387.283863999997266,71260,1.442881535990000,48,49,49,technical,23.782240000000002,90.351969999999994,1250.000000000000000,48,0.073998205064900,0.758951886731000,37483
18,10,10,42414.774840199999744,87879,2.071895945010000,36,37,37,mirpur_1,23.799530000000001,90.354439999999997,1250.000000000000000,36,0.074003326950000,0.184905337166000,7843
19,10,10,42414.774840199999744,87879,2.071895945010000,48,49,49,technical,23.782240000000002,90.351969999999994,1250.000000000000000,48,0.073998205064900,1.100104877220000,46661
20,11,11,81226.625680500001181,97033,1.194595973760000,33,34,34,mirpur_paikpara,23.786850000000001,90.361760000000004,1250.000000000000000,33,0.073999570238600,0.011563187133500,939
21,11,11,81226.625680500001181,97033,1.194595973760000,48,49,49,technical,23.782240000000002,90.351969999999994,1250.000000000000000,48,0.073998205064900,0.002716291901250,221
22,12,13,51876.690948700001172,157206,3.030378328400000,31,32,32,shewrapara,23.788660000000000,90.375789999999995,1250.000000000000000,31,0.074000106348100,0.083620425126500,4338
23,12,13,51876.690948700001172,157206,3.030378328400000,33,34,34,mirpur_paikpara,23.786850000000001,90.361760000000004,1250.000000000000000,33,0.073999570238600,0.137493033909000,7133
24,13,14,110511.309122000006028,163797,1.482174098760000,32,33,33,mirpur_monipur,23.799959999999999,90.366489999999999,1250.000000000000000,32,0.074003454345400,0.004722386860400,522
25,13,14,110511.309122000006028,163797,1.482174098760000,37,38,38,mirpur_10,23.807780000000001,90.368570000000005,1250.000000000000000,37,0.074005772704100,0.004319979215020,477
26,15,15,15302.678984100000889,70615,4.614551483010000,21,22,22,mirpur_dohs,23.836990000000000,90.374240000000000,1250.000000000000000,21,0.074014442151500,0.600283791516000,9186
27,15,15,15302.678984100000889,70615,4.614551483010000,38,39,39,kochukhetmmarket,23.792059999999999,90.388159999999999,1250.000000000000000,38,0.074001113678100,0.097242290953400,1488
28,16,16,30944.155345399998623,142413,4.602258436540000,18,19,19,chandrima_park,23.765400000000000,90.378159999999994,1250.000000000000000,18,0.073993220902000,0.462127006511000,14300
