FID,FID_dhaka_,Ward_ID,PopDensity,Pop,Area,FID_dhaka1,OBJECTID,site_id,site_name,lat,long,BUFF_DIST,ORIG_FID,Shape_Leng,Shape_Area,pop_count
0,0,1,32644.580132800001593,183298,5.614959642740000,41,42,42,uttara_sector_1,23.856290000000001,90.401390000000006,500.000000000000000,41,0.029613925090000,0.247946984067000,8094
1,0,1,32644.580132800001593,183298,5.614959642740000,42,43,43,uttara_sector_7,23.869800000000001,90.400049999999993,500.000000000000000,42,0.029615532835600,0.786890731326000,25688
2,0,1,32644.580132800001593,183298,5.614959642740000,45,46,46,airport,23.853190000000001,90.405980000000000,500.000000000000000,45,0.029613555895500,0.012970521485400,423
3,1,2,80339.492450100005954,151868,1.890328098530000,21,22,22,mirpur_dohs,23.836990000000000,90.374240000000000,500.000000000000000,21,0.029611630149400,0.072109347875400,5793
4,1,2,80339.492450100005954,151868,1.890328098530000,29,30,30,mirpur_milk_vita,23.818909999999999,90.361080000000001,500.000000000000000,29,0.029609482778200,0.012516549327700,1006
5,2,3,71784.943147600002703,94664,1.318716653510000,23,24,24,mirpur_6,23.812040000000000,90.362589999999997,500.000000000000000,23,0.029608667292400,0.003528547664340,253
6,2,3,71784.943147600002703,94664,1.318716653510000,37,38,38,mirpur_10,23.807780000000001,90.368570000000005,500.000000000000000,37,0.029608161843200,0.286212890279000,20546
7,4,5,98890.981691199995112,118110,1.194345510380000,23,24,24,mirpur_6,23.812040000000000,90.362589999999997,500.000000000000000,23,0.029608667292400,0.007278466473700,720
8,4,5,98890.981691199995112,118110,1.194345510380000,29,30,30,mirpur_milk_vita,23.818909999999999,90.361080000000001,500.000000000000000,29,0.029609482778200,0.018846071955900,1864
9,5,12,138390.602130000013858,116544,0.842138109139000,36,37,37,mirpur_1,23.799530000000001,90.354439999999997,500.000000000000000,36,0.029607183006800,0.344073605477000,47617
10,6,6,58389.779890899997554,163770,2.804771662200000,23,24,24,mirpur_6,23.812040000000000,90.362589999999997,500.000000000000000,23,0.029608667292400,0.475587561209000,27769
11,6,6,58389.779890899997554,163770,2.804771662200000,29,30,30,mirpur_milk_vita,23.818909999999999,90.361080000000001,500.000000000000000,29,0.029609482778200,0.659023557976000,38480
12,6,6,58389.779890899997554,163770,2.804771662200000,37,38,38,mirpur_10,23.807780000000001,90.368570000000005,500.000000000000000,37,0.029608161843200,0.002364028703950,138
13,7,7,116705.176107999999658,113750,0.974678277295000,23,24,24,mirpur_6,23.812040000000000,90.362589999999997,500.000000000000000,23,0.029608667292400,0.103973829289000,12134
14,7,7,116705.176107999999658,113750,0.974678277295000,36,37,37,mirpur_1,23.799530000000001,90.354439999999997,500.000000000000000,36,0.029607183006800,0.156055285128000,18212
15,7,7,116705.176107999999658,113750,0.974678277295000,37,38,38,mirpur_10,23.807780000000001,90.368570000000005,500.000000000000000,37,0.029608161843200,0.129877384418000,15157
16,8,8,26705.429750899998908,111251,4.165856945110000,36,37,37,mirpur_1,23.799530000000001,90.354439999999997,500.000000000000000,36,0.029607183006800,0.258731911666000,6910
17,10,10,42414.774840199999744,87879,2.071895945010000,33,34,34,mirpur_paikpara,23.786850000000001,90.361760000000004,500.000000000000000,33,0.029605680333200,0.020468556921400,868
18,10,10,42414.774840199999744,87879,2.071895945010000,48,49,49,technical,23.782240000000002,90.351969999999994,500.000000000000000,48,0.029605133930400,0.601572179306000,25516
19,11,11,81226.625680500001181,97033,1.194595973760000,33,34,34,mirpur_paikpara,23.786850000000001,90.361760000000004,500.000000000000000,33,0.029605680333200,0.225975486969000,18355
20,11,11,81226.625680500001181,97033,1.194595973760000,48,49,49,technical,23.782240000000002,90.351969999999994,500.000000000000000,48,0.029605133930400,0.185256147149000,15048
21,12,13,51876.690948700001172,157206,3.030378328400000,31,32,32,shewrapara,23.788660000000000,90.375789999999995,500.000000000000000,31,0.029605894492600,0.277554796120000,14399
22,12,13,51876.690948700001172,157206,3.030378328400000,32,33,33,mirpur_monipur,23.799959999999999,90.366489999999999,500.000000000000000,32,0.029607233936000,0.518860615712000,26917
23,12,13,51876.690948700001172,157206,3.030378328400000,33,34,34,mirpur_paikpara,23.786850000000001,90.361760000000004,500.000000000000000,33,0.029605680333200,0.540397404931000,28034
24,12,13,51876.690948700001172,157206,3.030378328400000,36,37,37,mirpur_1,23.799530000000001,90.354439999999997,500.000000000000000,36,0.029607183006800,0.027970251285300,1451
25,13,14,110511.309122000006028,163797,1.482174098760000,32,33,33,mirpur_monipur,23.799959999999999,90.366489999999999,500.000000000000000,32,0.029607233936000,0.234913714737000,25961
26,13,14,110511.309122000006028,163797,1.482174098760000,37,38,38,mirpur_10,23.807780000000001,90.368570000000005,500.000000000000000,37,0.029608161843200,0.235302536612000,26004
27,16,16,30944.155345399998623,142413,4.602258436540000,22,23,23,kafrul,23.790320000000001,90.386579999999995,500.000000000000000,22,0.029606091272600,0.222257541520000,6878
28,16,16,30944.155345399998623,142413,4.602258436540000,31,32,32,shewrapara,23.788660000000000,90.375789999999995,500.000000000000000,31,0.029605894492600,0.509305661026000,15760
29,16,16,30944.155345399998623,142413,4.602258436540000,38,39,39,kochukhetmmarket,23.792059999999999,90.388159999999999,500.000000000000000,38,0.029606297386000,0.049179103331800,1522
30,17,17,16373.542272500000763,101829,6.219118520910000,43,44,44,baridhara,23.805040000000002,90.424139999999994,500.000000000000000,43,0.029607836704800,0.104405165834000,1709
31,17,17,16373.542272500000763,101829,6.219118520910000,47,48,48,jamuna_future_park,23.813110000000002,90.421040000000005,500.000000000000000,47,0.029608794044500,0.647221073564000,10597
32,18,18,45221.806915799999842,63616,1.406754933930000,43,44,44,baridhara,23.805040000000002,90.424139999999994,500.000000000000000,43,0.029607836704800,0.188199019002000,8511
33,18,18,45221.806915799999842,63616,1.406754933930000,44,45,45,us_embassy,23.797440000000002,90.422719999999998,500.000000000000000,44,0.029606935624100,0.424747850308000,19208
34,18,18,45221.806915799999842,63616,1.406754933930000,47,48,48,jamuna_future_park,23.813110000000002,90.421040000000005,500.000000000000000,47,0.029608794044500,0.124567060795000,5633
35,19,19,18157.673560499999439,96291,5.303047203660000,14,15,15,fazle_rabbi_park,23.774170000000002,90.414980000000000,500.000000000000000,14,0.029604177998800,0.395313495213000,7178
36,19,19,18157.673560499999439,96291,5.303047203660000,44,45,45,us_embassy,23.797440000000002,90.422719999999998,500.000000000000000,44,0.029606935624100,0.050617063553500,919
37,20,20,2946.072639930000150,5475,1.858406315510000,14,15,15,fazle_rabbi_park,23.774170000000002,90.414980000000000,500.000000000000000,14,0.029604177998800,0.150482081193000,443
38,22,32,41317.061769499996444,42105,1.019070529140000,17,18,18,gulistan,23.719339999999999,90.416659999999993,500.000000000000000,17,0.029597696087200,0.089820007950500,3711
39,23,21,60010.991252200001327,96111,1.601556614790000,9,10,10,bd_tv_bhaban,23.765270000000001,90.422439999999995,500.000000000000000,9,0.029603124528000,0.067733114785700,4065
40,23,21,60010.991252200001327,96111,1.601556614790000,11,12,12,aftabnagar,23.767189999999999,90.428420000000003,500.000000000000000,11,0.029603351975800,0.026021059861900,1562
41,23,21,60010.991252200001327,96111,1.601556614790000,13,14,14,hatirjheel_bridge2,23.767949999999999,90.413020000000003,500.000000000000000,13,0.029603441634700,0.018507653324000,1111
42,23,21,60010.991252200001327,96111,1.601556614790000,14,15,15,fazle_rabbi_park,23.774170000000002,90.414980000000000,500.000000000000000,14,0.029604177998800,0.097220114123700,5834
43,26,22,101765.179380000001402,160316,1.575352207670000,5,6,6,rampura_bou_bazar,23.757860000000001,90.421769999999995,500.000000000000000,5,0.029602247819800,0.119719881395000,12183
44,26,22,101765.179380000001402,160316,1.575352207670000,6,7,7,hazipara_balur_math,23.756769999999999,90.418629999999993,500.000000000000000,6,0.029602119204600,0.007864944958920,800
45,26,22,101765.179380000001402,160316,1.575352207670000,8,9,9,rampura_supermarket,23.760050000000000,90.418440000000004,500.000000000000000,8,0.029602506931000,0.064818750023400,6596
46,26,22,101765.179380000001402,160316,1.575352207670000,9,10,10,bd_tv_bhaban,23.765270000000001,90.422439999999995,500.000000000000000,9,0.029603124528000,0.183819835469000,18706
47,26,22,101765.179380000001402,160316,1.575352207670000,10,11,11,banasree_road2,23.765070000000001,90.426479999999998,500.000000000000000,10,0.029603100886600,0.044823586626500,4561
48,26,22,101765.179380000001402,160316,1.575352207670000,13,14,14,hatirjheel_bridge2,23.767949999999999,90.413020000000003,500.000000000000000,13,0.029603441634700,0.198629303542000,20214
49,27,23,82410.070107599996845,63763,0.773728258170000,0,1,1,moghbazar,23.747299999999999,90.411569999999998,500.000000000000000,0,0.029600998927600,0.006637738358830,547
50,27,23,82410.070107599996845,63763,0.773728258170000,1,2,2,khilgaon,23.749630000000000,90.419439999999994,500.000000000000000,1,0.029601274409700,0.047727494547500,3933
51,27,23,82410.070107599996845,63763,0.773728258170000,4,5,5,riazbag_cemetery,23.752630000000000,90.426299999999998,500.000000000000000,4,0.029601629345000,0.006919171969670,570
52,27,23,82410.070107599996845,63763,0.773728258170000,5,6,6,rampura_bou_bazar,23.757860000000001,90.421769999999995,500.000000000000000,5,0.029602247819800,0.002311617234790,191
53,27,23,82410.070107599996845,63763,0.773728258170000,6,7,7,hazipara_balur_math,23.756769999999999,90.418629999999993,500.000000000000000,6,0.029602119204600,0.018333936972600,1511
54,28,36,46265.166714799997862,59639,1.289069168770000,17,18,18,gulistan,23.719339999999999,90.416659999999993,500.000000000000000,17,0.029597696087200,0.010512863863600,486
55,28,36,46265.166714799997862,59639,1.289069168770000,49,50,50,mouchak_market,23.746810000000000,90.411450000000002,500.000000000000000,49,0.029600941213100,0.009476345302830,438
56,29,24,85261.005916099995375,68931,0.808470405191000,1,2,2,khilgaon,23.749630000000000,90.419439999999994,500.000000000000000,1,0.029601274409700,0.113960588797000,9716
57,29,24,85261.005916099995375,68931,0.808470405191000,2,3,3,khilgaon_college,23.749669999999998,90.425569999999993,500.000000000000000,2,0.029601279111300,0.108876232072000,9283
58,30,25,114225.504994000002625,113273,0.991661188157000,2,3,3,khilgaon_college,23.749669999999998,90.425569999999993,500.000000000000000,2,0.029601279111300,0.000717964155112,82
59,30,25,114225.504994000002625,113273,0.991661188157000,4,5,5,riazbag_cemetery,23.752630000000000,90.426299999999998,500.000000000000000,4,0.029601629345000,0.015797082796000,1804
60,31,26,43960.932245600000897,86931,1.977460339430000,4,5,5,riazbag_cemetery,23.752630000000000,90.426299999999998,500.000000000000000,4,0.029601629345000,0.158511469288000,6968
61,31,26,43960.932245600000897,86931,1.977460339430000,5,6,6,rampura_bou_bazar,23.757860000000001,90.421769999999995,500.000000000000000,5,0.029602247819800,0.014006439756500,616
62,34,34,76723.585749200006831,59999,0.782015066346000,1,2,2,khilgaon,23.749630000000000,90.419439999999994,500.000000000000000,1,0.029601274409700,0.032855573702900,2521
63,34,34,76723.585749200006831,59999,0.782015066346000,2,3,3,khilgaon_college,23.749669999999998,90.425569999999993,500.000000000000000,2,0.029601279111300,0.035956405890300,2759
64,35,35,102483.155641999997897,51067,0.498296521806000,0,1,1,moghbazar,23.747299999999999,90.411569999999998,500.000000000000000,0,0.029600998927600,0.000006517629966,1
65,35,35,102483.155641999997897,51067,0.498296521806000,1,2,2,khilgaon,23.749630000000000,90.419439999999994,500.000000000000000,1,0.029601274409700,0.161811968456000,16583
66,35,35,102483.155641999997897,51067,0.498296521806000,49,50,50,mouchak_market,23.746810000000000,90.411450000000002,500.000000000000000,49,0.029600941213100,0.005197742009670,533
67,36,37,33421.159174000000348,103274,3.090078338170000,12,13,13,aust,23.765640000000001,90.407079999999993,500.000000000000000,12,0.029603168280800,0.596139473278000,19924
68,36,37,33421.159174000000348,103274,3.090078338170000,13,14,14,hatirjheel_bridge2,23.767949999999999,90.413020000000003,500.000000000000000,13,0.029603441634700,0.235703107512000,7877
