FID,FID_dhaka_,Ward_ID,PopDensity,Pop,Area,FID_dhaka1,OBJECTID,site_id,site_name,lat,long,BUFF_DIST,ORIG_FID,Shape_Leng,Shape_Area,pop_count
0,0,1,32644.580132800001593,183298,5.614959642740000,41,42,42,uttara_sector_1,23.856290000000001,90.401390000000006,750.000000000000000,41,0.044421852427800,0.345574067388000,11281
1,0,1,32644.580132800001593,183298,5.614959642740000,42,43,43,uttara_sector_7,23.869800000000001,90.400049999999993,750.000000000000000,42,0.044424264747800,1.653598909400000,53981
2,1,2,80339.492450100005954,151868,1.890328098530000,21,22,22,mirpur_dohs,23.836990000000000,90.374240000000000,750.000000000000000,21,0.044418410203000,0.269133589966000,21622
3,1,2,80339.492450100005954,151868,1.890328098530000,29,30,30,mirpur_milk_vita,23.818909999999999,90.361080000000001,750.000000000000000,29,0.044415189067100,0.127581472053000,10250
4,2,3,71784.943147600002703,94664,1.318716653510000,37,38,38,mirpur_10,23.807780000000001,90.368570000000005,750.000000000000000,37,0.044413207857300,0.443043244768000,31804
5,3,4,66722.266262200006167,75246,1.127749463790000,37,38,38,mirpur_10,23.807780000000001,90.368570000000005,750.000000000000000,37,0.044413207857300,0.017525322388700,1169
6,3,4,66722.266262200006167,75246,1.127749463790000,38,39,39,kochukhetmmarket,23.792059999999999,90.388159999999999,750.000000000000000,38,0.044410411795500,0.010874004497700,726
7,4,5,98890.981691199995112,118110,1.194345510380000,23,24,24,mirpur_6,23.812040000000000,90.362589999999997,750.000000000000000,23,0.044413966138200,0.033887404112500,3351
8,4,5,98890.981691199995112,118110,1.194345510380000,29,30,30,mirpur_milk_vita,23.818909999999999,90.361080000000001,750.000000000000000,29,0.044415189067100,0.102655800540000,10152
9,4,5,98890.981691199995112,118110,1.194345510380000,37,38,38,mirpur_10,23.807780000000001,90.368570000000005,750.000000000000000,37,0.044413207857300,0.003681000918780,364
10,5,12,138390.602130000013858,116544,0.842138109139000,33,34,34,mirpur_paikpara,23.786850000000001,90.361760000000004,750.000000000000000,33,0.044409485379700,0.048767508455800,6749
11,5,12,138390.602130000013858,116544,0.842138109139000,36,37,37,mirpur_1,23.799530000000001,90.354439999999997,750.000000000000000,36,0.044411740283000,0.640725710562000,88670
12,6,6,58389.779890899997554,163770,2.804771662200000,23,24,24,mirpur_6,23.812040000000000,90.362589999999997,750.000000000000000,23,0.044413966138200,0.303337176402000,17712
13,6,6,58389.779890899997554,163770,2.804771662200000,29,30,30,mirpur_milk_vita,23.818909999999999,90.361080000000001,750.000000000000000,29,0.044415189067100,0.844309082511000,49299
14,7,7,116705.176107999999658,113750,0.974678277295000,23,24,24,mirpur_6,23.812040000000000,90.362589999999997,750.000000000000000,23,0.044413966138200,0.122598259752000,14308
15,7,7,116705.176107999999658,113750,0.974678277295000,32,33,33,mirpur_monipur,23.799959999999999,90.366489999999999,750.000000000000000,32,0.044411816450800,0.018990875473800,2216
