FID,FID_dhaka_,Ward_ID,PopDensity,Pop,Area,FID_dhaka1,OBJECTID,site_id,site_name,lat,long,BUFF_DIST,ORIG_FID,Shape_Leng,Shape_Area,pop_count
28,20,20,2946.072639930000150,5475,1.858406315510000,14,15,15,fazle_rabbi_park,23.774170000000002,90.414980000000000,250.000000000000000,14,0.014801123459800,0.016096775151300,47
29,26,22,101765.179380000001402,160316,1.575352207670000,5,6,6,rampura_bou_bazar,23.757860000000001,90.421769999999995,250.000000000000000,5,0.014800158332500,0.085127225323600,8663
30,26,22,101765.179380000001402,160316,1.575352207670000,6,7,7,hazipara_balur_math,23.756769999999999,90.418629999999993,250.000000000000000,6,0.014800093714300,0.001947787702110,198
31,26,22,101765.179380000001402,160316,1.575352207670000,7,8,8,dit_road,23.758279999999999,90.417959999999994,250.000000000000000,7,0.014800182934800,0.021976419245200,2236
32,26,22,101765.179380000001402,160316,1.575352207670000,8,9,9,rampura_supermarket,23.760050000000000,90.418440000000004,250.000000000000000,8,0.014800287989800,0.092324625377000,9395
33,26,22,101765.179380000001402,160316,1.575352207670000,9,10,10,bd_tv_bhaban,23.765270000000001,90.422439999999995,250.000000000000000,9,0.014800596672400,0.179863577012000,18304
34,26,22,101765.179380000001402,160316,1.575352207670000,10,11,11,banasree_road2,23.765070000000001,90.426479999999998,250.000000000000000,10,0.014800584882100,0.018973681781900,1931
35,26,22,101765.179380000001402,160316,1.575352207670000,13,14,14,hatirjheel_bridge2,23.767949999999999,90.413020000000003,250.000000000000000,13,0.014800755248500,0.025237083557300,2568
36,27,23,82410.070107599996845,63763,0.773728258170000,3,4,4,shahid_baki rd,23.750920000000001,90.424149999999997,250.000000000000000,3,0.014799748020800,0.026545068363300,2188
37,27,23,82410.070107599996845,63763,0.773728258170000,4,5,5,riazbag_cemetery,23.752630000000000,90.426299999999998,250.000000000000000,4,0.014799849090000,0.027662807377300,2280
38,27,23,82410.070107599996845,63763,0.773728258170000,5,6,6,rampura_bou_bazar,23.757860000000001,90.421769999999995,250.000000000000000,5,0.014800158332500,0.060714613610400,5003
39,27,23,82410.070107599996845,63763,0.773728258170000,6,7,7,hazipara_balur_math,23.756769999999999,90.418629999999993,250.000000000000000,6,0.014800093714300,0.064915683321300,5350
40,29,24,85261.005916099995375,68931,0.808470405191000,1,2,2,khilgaon,23.749630000000000,90.419439999999994,250.000000000000000,1,0.014799671728300,0.146533164859000,12494
41,29,24,85261.005916099995375,68931,0.808470405191000,2,3,3,khilgaon_college,23.749669999999998,90.425569999999993,250.000000000000000,2,0.014799673944700,0.086817117554800,7402
