FID,FID_dhaka_,Ward_ID,PopDensity,Pop,Area,FID_dhaka1,OBJECTID,site_id,site_name,lat,long,BUFF_DIST,ORIG_FID,Shape_Leng,Shape_Area,pop_count
0,0,1,32644.580132800001593,183298,5.614959642740000,42,43,43,uttara_sector_7,23.869800000000001,90.400049999999993,1500.000000000000000,42,0.088833144366500,2.487437941080000,81201
1,1,2,80339.492450100005954,151868,1.890328098530000,21,22,22,mirpur_dohs,23.836990000000000,90.374240000000000,1500.000000000000000,21,0.088821438218600,0.801647367575000,64404
2,1,2,80339.492450100005954,151868,1.890328098530000,29,30,30,mirpur_milk_vita,23.818909999999999,90.361080000000001,1500.000000000000000,29,0.088814996853300,0.108479072930000,8715
3,2,3,71784.943147600002703,94664,1.318716653510000,37,38,38,mirpur_10,23.807780000000001,90.368570000000005,1500.000000000000000,37,0.088811035051000,0.283581716106000,20357
4,3,4,66722.266262200006167,75246,1.127749463790000,37,38,38,mirpur_10,23.807780000000001,90.368570000000005,1500.000000000000000,37,0.088811035051000,0.273496566633000,18248
5,3,4,66722.266262200006167,75246,1.127749463790000,38,39,39,kochukhetmmarket,23.792059999999999,90.388159999999999,1500.000000000000000,38,0.088805443346900,0.087191382626200,5818
6,4,5,98890.981691199995112,118110,1.194345510380000,29,30,30,mirpur_milk_vita,23.818909999999999,90.361080000000001,1500.000000000000000,29,0.088814996853300,0.035886342547500,3549
7,4,5,98890.981691199995112,118110,1.194345510380000,37,38,38,mirpur_10,23.807780000000001,90.368570000000005,1500.000000000000000,37,0.088811035051000,0.146666604103000,14504
8,5,12,138390.602130000013858,116544,0.842138109139000,36,37,37,mirpur_1,23.799530000000001,90.354439999999997,1500.000000000000000,36,0.088808099307800,0.032885345717700,4551
9,6,6,58389.779890899997554,163770,2.804771662200000,29,30,30,mirpur_milk_vita,23.818909999999999,90.361080000000001,1500.000000000000000,29,0.088814996853300,0.493233674476000,28800
10,8,8,26705.429750899998908,111251,4.165856945110000,23,24,24,mirpur_6,23.812040000000000,90.362589999999997,1500.000000000000000,23,0.088812550694000,0.004202693085320,112
11,8,8,26705.429750899998908,111251,4.165856945110000,29,30,30,mirpur_milk_vita,23.818909999999999,90.361080000000001,1500.000000000000000,29,0.088814996853300,0.516352105211000,13789
12,8,8,26705.429750899998908,111251,4.165856945110000,36,37,37,mirpur_1,23.799530000000001,90.354439999999997,1500.000000000000000,36,0.088808099307800,1.013629321900000,27069
13,9,9,49387.283863999997266,71260,1.442881535990000,36,37,37,mirpur_1,23.799530000000001,90.354439999999997,1500.000000000000000,36,0.088808099307800,0.275635491169000,13613
14,9,9,49387.283863999997266,71260,1.442881535990000,48,49,49,technical,23.782240000000002,90.351969999999994,1500.000000000000000,48,0.088801952794600,1.049092523680000,51812
15,10,10,42414.774840199999744,87879,2.071895945010000,36,37,37,mirpur_1,23.799530000000001,90.354439999999997,1500.000000000000000,36,0.088808099307800,0.090786845426100,3851
16,10,10,42414.774840199999744,87879,2.071895945010000,48,49,49,technical,23.782240000000002,90.351969999999994,1500.000000000000000,48,0.088801952794600,0.586682967713000,24884
17,14,29,134662.283053999999538,79305,0.588917685053000,17,18,18,gulistan,23.719339999999999,90.416659999999993,1500.000000000000000,17,0.088779641905100,0.010317735893000,1389
18,15,15,15302.678984100000889,70615,4.614551483010000,21,22,22,mirpur_dohs,23.836990000000000,90.374240000000000,1500.000000000000000,21,0.088821438218600,1.003868047130000,15362
19,15,15,15302.678984100000889,70615,4.614551483010000,38,39,39,kochukhetmmarket,23.792059999999999,90.388159999999999,1500.000000000000000,38,0.088805443346900,0.172971637512000,2647
