FID,FID_dhaka_,Ward_ID,PopDensity,Pop,Area,FID_dhaka1,OBJECTID,site_id,site_name,lat,long,BUFF_DIST,ORIG_FID,Shape_Leng,Shape_Area,pop_count
0,0,1,32644.580132800001593,183298,5.614959642740000,41,42,42,uttara_sector_1,23.856290000000001,90.401390000000006,1000.000000000000000,41,0.059229793063700,0.063070919899900,2059
1,0,1,32644.580132800001593,183298,5.614959642740000,42,43,43,uttara_sector_7,23.869800000000001,90.400049999999993,1000.000000000000000,42,0.059233009232400,2.163827825560000,70637
2,1,2,80339.492450100005954,151868,1.890328098530000,21,22,22,mirpur_dohs,23.836990000000000,90.374240000000000,1000.000000000000000,21,0.059225203729900,0.589756818884000,47381
3,1,2,80339.492450100005954,151868,1.890328098530000,29,30,30,mirpur_milk_vita,23.818909999999999,90.361080000000001,1000.000000000000000,29,0.059220908419100,0.330001679418000,26512
4,2,3,71784.943147600002703,94664,1.318716653510000,23,24,24,mirpur_6,23.812040000000000,90.362589999999997,1000.000000000000000,23,0.059219277971300,0.001678509008040,120
5,2,3,71784.943147600002703,94664,1.318716653510000,29,30,30,mirpur_milk_vita,23.818909999999999,90.361080000000001,1000.000000000000000,29,0.059220908419100,0.000000497787796,0
6,2,3,71784.943147600002703,94664,1.318716653510000,37,38,38,mirpur_10,23.807780000000001,90.368570000000005,1000.000000000000000,37,0.059218266972100,0.442199139642000,31743
7,3,4,66722.266262200006167,75246,1.127749463790000,37,38,38,mirpur_10,23.807780000000001,90.368570000000005,1000.000000000000000,37,0.059218266972100,0.149295091785000,9961
8,3,4,66722.266262200006167,75246,1.127749463790000,38,39,39,kochukhetmmarket,23.792059999999999,90.388159999999999,1000.000000000000000,38,0.059214538578300,0.076711058807500,5118
9,4,5,98890.981691199995112,118110,1.194345510380000,29,30,30,mirpur_milk_vita,23.818909999999999,90.361080000000001,1000.000000000000000,29,0.059220908419100,0.085041149418400,8410
10,5,12,138390.602130000013858,116544,0.842138109139000,33,34,34,mirpur_paikpara,23.786850000000001,90.361760000000004,1000.000000000000000,33,0.059213303415600,0.014442040931100,1999
11,5,12,138390.602130000013858,116544,0.842138109139000,36,37,37,mirpur_1,23.799530000000001,90.354439999999997,1000.000000000000000,36,0.059216309646000,0.505431246781000,69947
12,5,12,138390.602130000013858,116544,0.842138109139000,48,49,49,technical,23.782240000000002,90.351969999999994,1000.000000000000000,48,0.059212211013100,0.007673755926160,1062
13,6,6,58389.779890899997554,163770,2.804771662200000,23,24,24,mirpur_6,23.812040000000000,90.362589999999997,1000.000000000000000,23,0.059219277971300,0.199171520177000,11630
14,6,6,58389.779890899997554,163770,2.804771662200000,29,30,30,mirpur_milk_vita,23.818909999999999,90.361080000000001,1000.000000000000000,29,0.059220908419100,0.857037054437000,50042
15,6,6,58389.779890899997554,163770,2.804771662200000,36,37,37,mirpur_1,23.799530000000001,90.354439999999997,1000.000000000000000,36,0.059216309646000,0.049598462441300,2896
16,7,7,116705.176107999999658,113750,0.974678277295000,23,24,24,mirpur_6,23.812040000000000,90.362589999999997,1000.000000000000000,23,0.059219277971300,0.004249995538070,496
17,7,7,116705.176107999999658,113750,0.974678277295000,36,37,37,mirpur_1,23.799530000000001,90.354439999999997,1000.000000000000000,36,0.059216309646000,0.264712447449000,30893
18,8,8,26705.429750899998908,111251,4.165856945110000,23,24,24,mirpur_6,23.812040000000000,90.362589999999997,1000.000000000000000,23,0.059219277971300,0.006646801448700,178
19,8,8,26705.429750899998908,111251,4.165856945110000,29,30,30,mirpur_milk_vita,23.818909999999999,90.361080000000001,1000.000000000000000,29,0.059220908419100,0.067873035036400,1813
20,8,8,26705.429750899998908,111251,4.165856945110000,36,37,37,mirpur_1,23.799530000000001,90.354439999999997,1000.000000000000000,36,0.059216309646000,0.833063305508000,22247
21,9,9,49387.283863999997266,71260,1.442881535990000,36,37,37,mirpur_1,23.799530000000001,90.354439999999997,1000.000000000000000,36,0.059216309646000,0.023889777000600,1180
22,9,9,49387.283863999997266,71260,1.442881535990000,48,49,49,technical,23.782240000000002,90.351969999999994,1000.000000000000000,48,0.059212211013100,0.311527646501000,15386
23,10,10,42414.774840199999744,87879,2.071895945010000,36,37,37,mirpur_1,23.799530000000001,90.354439999999997,1000.000000000000000,36,0.059216309646000,0.201953281554000,8566
24,10,10,42414.774840199999744,87879,2.071895945010000,48,49,49,technical,23.782240000000002,90.351969999999994,1000.000000000000000,48,0.059212211013100,1.249583136890000,53001
25,11,11,81226.625680500001181,97033,1.194595973760000,33,34,34,mirpur_paikpara,23.786850000000001,90.361760000000004,1000.000000000000000,33,0.059213303415600,0.171317353351000,13916
26,11,11,81226.625680500001181,97033,1.194595973760000,36,37,37,mirpur_1,23.799530000000001,90.354439999999997,1000.000000000000000,36,0.059216309646000,0.007758587017220,630
27,11,11,81226.625680500001181,97033,1.194595973760000,48,49,49,technical,23.782240000000002,90.351969999999994,1000.000000000000000,48,0.059212211013100,0.236497774656000,19210
28,12,13,51876.690948700001172,157206,3.030378328400000,31,32,32,shewrapara,23.788660000000000,90.375789999999995,1000.000000000000000,31,0.059213732533800,0.429016964262000,22256
29,12,13,51876.690948700001172,157206,3.030378328400000,32,33,33,mirpur_monipur,23.799959999999999,90.366489999999999,1000.000000000000000,32,0.059216411839100,0.252655116701000,13107
30,12,13,51876.690948700001172,157206,3.030378328400000,33,34,34,mirpur_paikpara,23.786850000000001,90.361760000000004,1000.000000000000000,33,0.059213303415600,0.802656081519000,41639
31,13,14,110511.309122000006028,163797,1.482174098760000,31,32,32,shewrapara,23.788660000000000,90.375789999999995,1000.000000000000000,31,0.059213732533800,0.108194993553000,11957
32,13,14,110511.309122000006028,163797,1.482174098760000,32,33,33,mirpur_monipur,23.799959999999999,90.366489999999999,1000.000000000000000,32,0.059216411839100,0.221117893708000,24436
33,13,14,110511.309122000006028,163797,1.482174098760000,37,38,38,mirpur_10,23.807780000000001,90.368570000000005,1000.000000000000000,37,0.059218266972100,0.063879759173300,7059
34,15,15,15302.678984100000889,70615,4.614551483010000,21,22,22,mirpur_dohs,23.836990000000000,90.374240000000000,1000.000000000000000,21,0.059225203729900,0.216173056742000,3308
35,15,15,15302.678984100000889,70615,4.614551483010000,38,39,39,kochukhetmmarket,23.792059999999999,90.388159999999999,1000.000000000000000,38,0.059214538578300,0.038329310809100,587
36,16,16,30944.155345399998623,142413,4.602258436540000,18,19,19,chandrima_park,23.765400000000000,90.378159999999994,1000.000000000000000,18,0.059208223087900,0.316238890753000,9786
37,16,16,30944.155345399998623,142413,4.602258436540000,22,23,23,kafrul,23.790320000000001,90.386579999999995,1000.000000000000000,22,0.059214126097600,0.131822936690000,4079
38,16,16,30944.155345399998623,142413,4.602258436540000,31,32,32,shewrapara,23.788660000000000,90.375789999999995,1000.000000000000000,31,0.059213732533800,0.681109145729000,21076
39,16,16,30944.155345399998623,142413,4.602258436540000,33,34,34,mirpur_paikpara,23.786850000000001,90.361760000000004,1000.000000000000000,33,0.059213303415600,0.004996617149610,155
40,16,16,30944.155345399998623,142413,4.602258436540000,35,36,36,farmgate,23.757030000000000,90.390280000000004,1000.000000000000000,35,0.059206242078700,0.018691848421500,578
41,16,16,30944.155345399998623,142413,4.602258436540000,38,39,39,kochukhetmmarket,23.792059999999999,90.388159999999999,1000.000000000000000,38,0.059214538578300,0.032964015843300,1020
42,17,17,16373.542272500000763,101829,6.219118520910000,47,48,48,jamuna_future_park,23.813110000000002,90.421040000000005,1000.000000000000000,47,0.059219531762200,1.183701933090000,19381
43,18,18,45221.806915799999842,63616,1.406754933930000,43,44,44,baridhara,23.805040000000002,90.424139999999994,1000.000000000000000,43,0.059217616720800,0.004652773877650,210
44,18,18,45221.806915799999842,63616,1.406754933930000,44,45,45,us_embassy,23.797440000000002,90.422719999999998,1000.000000000000000,44,0.059215813983700,0.369924624881000,16729
45,18,18,45221.806915799999842,63616,1.406754933930000,47,48,48,jamuna_future_park,23.813110000000002,90.421040000000005,1000.000000000000000,47,0.059219531762200,0.076371413825000,3454
46,19,19,18157.673560499999439,96291,5.303047203660000,14,15,15,fazle_rabbi_park,23.774170000000002,90.414980000000000,1000.000000000000000,14,0.059210299521900,0.677276332280000,12298
47,19,19,18157.673560499999439,96291,5.303047203660000,43,44,44,baridhara,23.805040000000002,90.424139999999994,1000.000000000000000,43,0.059217616720800,0.049577238070700,900
48,19,19,18157.673560499999439,96291,5.303047203660000,44,45,45,us_embassy,23.797440000000002,90.422719999999998,1000.000000000000000,44,0.059215813983700,0.762826075391000,13851
49,20,20,2946.072639930000150,5475,1.858406315510000,12,13,13,aust,23.765640000000001,90.407079999999993,1000.000000000000000,12,0.059208279522100,0.024336055441600,72
50,20,20,2946.072639930000150,5475,1.858406315510000,14,15,15,fazle_rabbi_park,23.774170000000002,90.414980000000000,1000.000000000000000,14,0.059210299521900,0.293864361967000,866
51,22,32,41317.061769499996444,42105,1.019070529140000,17,18,18,gulistan,23.719339999999999,90.416659999999993,1000.000000000000000,17,0.059197334657200,0.571037428349000,23594
52,23,21,60010.991252200001327,96111,1.601556614790000,11,12,12,aftabnagar,23.767189999999999,90.428420000000003,1000.000000000000000,11,0.059208646684700,0.038998538636500,2340
53,23,21,60010.991252200001327,96111,1.601556614790000,14,15,15,fazle_rabbi_park,23.774170000000002,90.414980000000000,1000.000000000000000,14,0.059210299521900,0.262865425203000,15775
54,23,21,60010.991252200001327,96111,1.601556614790000,44,45,45,us_embassy,23.797440000000002,90.422719999999998,1000.000000000000000,44,0.059215813983700,0.006202770714480,372
55,24,31,37341.572967300002347,34867,0.933731421290000,17,18,18,gulistan,23.719339999999999,90.416659999999993,1000.000000000000000,17,0.059197334657200,0.060663411980600,2265
56,28,36,46265.166714799997862,59639,1.289069168770000,1,2,2,khilgaon,23.749630000000000,90.419439999999994,1000.000000000000000,1,0.059204491837200,0.000245363920991,11
57,28,36,46265.166714799997862,59639,1.289069168770000,15,16,16,ramna_park,23.734610000000000,90.402889999999999,1000.000000000000000,15,0.059200941201700,0.228355230818000,10565
58,28,36,46265.166714799997862,59639,1.289069168770000,17,18,18,gulistan,23.719339999999999,90.416659999999993,1000.000000000000000,17,0.059197334657200,0.173385777701000,8022
59,28,36,46265.166714799997862,59639,1.289069168770000,49,50,50,mouchak_market,23.746810000000000,90.411450000000002,1000.000000000000000,49,0.059203824949100,0.032263745444900,1493
60,29,24,85261.005916099995375,68931,0.808470405191000,2,3,3,khilgaon_college,23.749669999999998,90.425569999999993,1000.000000000000000,2,0.059204501418700,0.000027550677854,2
61,30,25,114225.504994000002625,113273,0.991661188157000,2,3,3,khilgaon_college,23.749669999999998,90.425569999999993,1000.000000000000000,2,0.059204501418700,0.084050496091300,9601
62,30,25,114225.504994000002625,113273,0.991661188157000,4,5,5,riazbag_cemetery,23.752630000000000,90.426299999999998,1000.000000000000000,4,0.059205201252100,0.012728038431700,1454
63,31,26,43960.932245600000897,86931,1.977460339430000,4,5,5,riazbag_cemetery,23.752630000000000,90.426299999999998,1000.000000000000000,4,0.059205201252100,0.160709249423000,7065
64,31,26,43960.932245600000897,86931,1.977460339430000,10,11,11,banasree_road2,23.765070000000001,90.426479999999998,1000.000000000000000,10,0.059208144685500,0.007870510938120,346
65,31,26,43960.932245600000897,86931,1.977460339430000,11,12,12,aftabnagar,23.767189999999999,90.428420000000003,1000.000000000000000,11,0.059208646684700,0.010004639616400,440
66,32,27,92721.029031099998974,82701,0.891933586849000,2,3,3,khilgaon_college,23.749669999999998,90.425569999999993,1000.000000000000000,2,0.059204501418700,0.107704362940000,9986
67,34,34,76723.585749200006831,59999,0.782015066346000,1,2,2,khilgaon,23.749630000000000,90.419439999999994,1000.000000000000000,1,0.059204491837200,0.035854415157700,2751
68,34,34,76723.585749200006831,59999,0.782015066346000,2,3,3,khilgaon_college,23.749669999999998,90.425569999999993,1000.000000000000000,2,0.059204501418700,0.046064812245200,3534
69,36,37,33421.159174000000348,103274,3.090078338170000,12,13,13,aust,23.765640000000001,90.407079999999993,1000.000000000000000,12,0.059208279522100,0.994536114569000,33239
70,36,37,33421.159174000000348,103274,3.090078338170000,16,17,17,eskaton_garden_rd,23.744450000000001,90.397170000000003,1000.000000000000000,16,0.059203266843200,0.026233087334100,877
71,36,37,33421.159174000000348,103274,3.090078338170000,35,36,36,farmgate,23.757030000000000,90.390280000000004,1000.000000000000000,35,0.059206242078700,0.488053992615000,16311
72,37,38,90409.397911299995030,99727,1.103060105520000,12,13,13,aust,23.765640000000001,90.407079999999993,1000.000000000000000,12,0.059208279522100,0.060912659482600,5507
73,37,38,90409.397911299995030,99727,1.103060105520000,35,36,36,farmgate,23.757030000000000,90.390280000000004,1000.000000000000000,35,0.059206242078700,0.048954391148400,4426
74,38,39,58242.564720700000180,67876,1.165401975780000,16,17,17,eskaton_garden_rd,23.744450000000001,90.397170000000003,1000.000000000000000,16,0.059203266843200,0.026886324850000,1566
75,38,39,58242.564720700000180,67876,1.165401975780000,35,36,36,farmgate,23.757030000000000,90.390280000000004,1000.000000000000000,35,0.059206242078700,0.753155956730000,43866
76,39,40,20751.195172899999307,71589,3.449873580950000,18,19,19,chandrima_park,23.765400000000000,90.378159999999994,1000.000000000000000,18,0.059208223087900,1.072062827550000,22247
77,39,40,20751.195172899999307,71589,3.449873580950000,35,36,36,farmgate,23.757030000000000,90.390280000000004,1000.000000000000000,35,0.059206242078700,0.024284331928000,504
78,40,41,67153.519247400006861,65984,0.982584393781000,31,32,32,shewrapara,23.788660000000000,90.375789999999995,1000.000000000000000,31,0.059213732533800,0.072481591570400,4867
79,40,41,67153.519247400006861,65984,0.982584393781000,33,34,34,mirpur_paikpara,23.786850000000001,90.361760000000004,1000.000000000000000,33,0.059213303415600,0.040774618748100,2738
80,41,42,90046.213838800002122,54739,0.607898962837000,40,41,41,mohammadpur,23.764489999999999,90.357939999999999,1000.000000000000000,40,0.059208007653200,0.586152422862000,52781
81,42,43,110179.980599000002258,186639,1.693946568020000,40,41,41,mohammadpur,23.764489999999999,90.357939999999999,1000.000000000000000,40,0.059208007653200,0.741663932365000,81717
82,42,43,110179.980599000002258,186639,1.693946568020000,48,49,49,technical,23.782240000000002,90.351969999999994,1000.000000000000000,48,0.059212211013100,0.306603051189000,33782
83,43,44,92727.889606500000809,51384,0.554137490005000,40,41,41,mohammadpur,23.764489999999999,90.357939999999999,1000.000000000000000,40,0.059208007653200,0.437248336546000,40545
84,44,45,54265.061513499997091,72973,1.344751078590000,18,19,19,chandrima_park,23.765400000000000,90.378159999999994,1000.000000000000000,18,0.059208223087900,0.152471289715000,8274
85,44,45,54265.061513499997091,72973,1.344751078590000,28,29,29,shangsad_bhaban,23.758400000000002,90.380060000000000,1000.000000000000000,28,0.059206566426300,0.089334570552500,4848
86,44,45,54265.061513499997091,72973,1.344751078590000,40,41,41,mohammadpur,23.764489999999999,90.357939999999999,1000.000000000000000,40,0.059208007653200,0.226414776460000,12286
87,45,48,94861.147371800005203,128921,1.359049553710000,25,26,26,shimanto_square,23.738430000000001,90.375749999999996,1000.000000000000000,25,0.059201843932400,0.592935018538000,56246
88,46,49,32086.970946400000685,72449,2.257894648920000,19,20,20,dhanmondi_lake_park,23.747180000000000,90.378760000000000,1000.000000000000000,19,0.059203912469600,0.167486225851000,5374
89,46,49,32086.970946400000685,72449,2.257894648920000,25,26,26,shimanto_square,23.738430000000001,90.375749999999996,1000.000000000000000,25,0.059201843932400,0.070172103763500,2252
90,46,49,32086.970946400000685,72449,2.257894648920000,27,28,28,square_hospital,23.752389999999998,90.381119999999996,1000.000000000000000,27,0.059205144665600,0.002145284555000,69
91,46,49,32086.970946400000685,72449,2.257894648920000,28,29,29,shangsad_bhaban,23.758400000000002,90.380060000000000,1000.000000000000000,28,0.059206566426300,0.001430532031380,46
92,47,46,21036.586271399999532,114756,5.455067591270000,40,41,41,mohammadpur,23.764489999999999,90.357939999999999,1000.000000000000000,40,0.059208007653200,1.156281904680000,24324
93,48,47,82900.772416299994802,106548,1.285247373390000,19,20,20,dhanmondi_lake_park,23.747180000000000,90.378760000000000,1000.000000000000000,19,0.059203912469600,0.015820231267700,1312
94,48,47,82900.772416299994802,106548,1.285247373390000,25,26,26,shimanto_square,23.738430000000001,90.375749999999996,1000.000000000000000,25,0.059201843932400,0.004179207955110,346
95,49,50,119719.773883999994723,79983,0.668085124163000,16,17,17,eskaton_garden_rd,23.744450000000001,90.397170000000003,1000.000000000000000,16,0.059203266843200,0.002136932721010,256
96,49,50,119719.773883999994723,79983,0.668085124163000,30,31,31,elephant_road,23.739550000000001,90.389120000000005,1000.000000000000000,30,0.059202108775200,0.001495415134280,179
97,51,52,29181.469655699998839,49523,1.697070112790000,25,26,26,shimanto_square,23.738430000000001,90.375749999999996,1000.000000000000000,25,0.059201843932400,0.273596436024000,7984
98,51,52,29181.469655699998839,49523,1.697070112790000,30,31,31,elephant_road,23.739550000000001,90.389120000000005,1000.000000000000000,30,0.059202108775200,0.020840947114300,608
99,52,56,18184.052308199999970,38201,2.100796860490000,15,16,16,ramna_park,23.734610000000000,90.402889999999999,1000.000000000000000,15,0.059200941201700,0.447570946624000,8139
100,52,56,18184.052308199999970,38201,2.100796860490000,17,18,18,gulistan,23.719339999999999,90.416659999999993,1000.000000000000000,17,0.059197334657200,0.028014737479000,509
101,52,56,18184.052308199999970,38201,2.100796860490000,26,27,27,agashadek_Rroad,23.719780000000000,90.403540000000007,1000.000000000000000,26,0.059197438571200,0.232418254010000,4226
102,53,53,30487.473478100000648,55920,1.834195937560000,15,16,16,ramna_park,23.734610000000000,90.402889999999999,1000.000000000000000,15,0.059200941201700,0.198794331025000,6061
103,53,53,30487.473478100000648,55920,1.834195937560000,16,17,17,eskaton_garden_rd,23.744450000000001,90.397170000000003,1000.000000000000000,16,0.059203266843200,0.215089816613000,6558
104,54,54,69298.017877999998746,74069,1.068847310040000,0,1,1,moghbazar,23.747299999999999,90.411569999999998,1000.000000000000000,0,0.059203940793800,0.025036827732100,1735
105,54,54,69298.017877999998746,74069,1.068847310040000,7,8,8,dit_road,23.758279999999999,90.417959999999994,1000.000000000000000,7,0.059206537947400,0.003447699961400,239
106,54,54,69298.017877999998746,74069,1.068847310040000,12,13,13,aust,23.765640000000001,90.407079999999993,1000.000000000000000,12,0.059208279522100,0.083308642002600,5773
107,54,54,69298.017877999998746,74069,1.068847310040000,16,17,17,eskaton_garden_rd,23.744450000000001,90.397170000000003,1000.000000000000000,16,0.059203266843200,0.346559930789000,24016
108,55,55,85428.704810299997916,70984,0.830915090632000,7,8,8,dit_road,23.758279999999999,90.417959999999994,1000.000000000000000,7,0.059206537947400,0.000557694406422,48
109,55,55,85428.704810299997916,70984,0.830915090632000,12,13,13,aust,23.765640000000001,90.407079999999993,1000.000000000000000,12,0.059208279522100,0.003291419541390,281
110,56,57,18255.572890899999038,33513,1.835768189820000,16,17,17,eskaton_garden_rd,23.744450000000001,90.397170000000003,1000.000000000000000,16,0.059203266843200,0.010528917205300,192
111,57,58,93831.845987699998659,84519,0.900749624078000,20,21,21,azimpur_colony,23.727290000000000,90.384169999999997,1000.000000000000000,20,0.059199212049200,0.079320803788900,7443
112,57,58,93831.845987699998659,84519,0.900749624078000,25,26,26,shimanto_square,23.738430000000001,90.375749999999996,1000.000000000000000,25,0.059201843932400,0.067139327635600,6300
113,57,58,93831.845987699998659,84519,0.900749624078000,34,35,35,new_market,23.732530000000001,90.383830000000003,1000.000000000000000,34,0.059200449761200,0.000016696538543,2
114,58,59,83325.712131099993712,48875,0.586553642927000,20,21,21,azimpur_colony,23.727290000000000,90.384169999999997,1000.000000000000000,20,0.059199212049200,0.103421706699000,8618
115,58,59,83325.712131099993712,48875,0.586553642927000,24,25,25,lalbag,23.720009999999998,90.387050000000002,1000.000000000000000,24,0.059197492986600,0.001545737875190,129
116,59,60,157213.536602999985917,66470,0.422800742457000,24,25,25,lalbag,23.720009999999998,90.387050000000002,1000.000000000000000,24,0.059197492986600,0.322508473856000,50703
117,61,61,94881.481950799992774,29832,0.314413301591000,24,25,25,lalbag,23.720009999999998,90.387050000000002,1000.000000000000000,24,0.059197492986600,0.049409003173700,4688
118,63,64,119768.804608000005828,24656,0.205863288698000,24,25,25,lalbag,23.720009999999998,90.387050000000002,1000.000000000000000,24,0.059197492986600,0.020761475338800,2487
119,63,64,119768.804608000005828,24656,0.205863288698000,26,27,27,agashadek_Rroad,23.719780000000000,90.403540000000007,1000.000000000000000,26,0.059197438571200,0.012025061638100,1440
